year,city,year,nyc_temp,global_temp
1937,New York,1937,10.16,8.7
1938,New York,1938,10.42,8.86
1939,New York,1939,10.07,8.76
1940,New York,1940,8.53,8.76
1941,New York,1941,10.19,8.77
1942,New York,1942,9.96,8.73
1943,New York,1943,9.58,8.76
1944,New York,1944,10.01,8.85
1945,New York,1945,9.94,8.58
1946,New York,1946,10.63,8.68
1947,New York,1947,9.91,8.8
1948,New York,1948,9.83,8.75
1949,New York,1949,11.39,8.59
1950,New York,1950,9.72,8.37
1951,New York,1951,10.27,8.63
1952,New York,1952,10.52,8.64
1953,New York,1953,11.17,8.87
1954,New York,1954,10.31,8.56
1955,New York,1955,10.39,8.63
1956,New York,1956,9.75,8.28
1957,New York,1957,10.5,8.73
1958,New York,1958,9.16,8.77
1959,New York,1959,10.77,8.73
1960,New York,1960,9.76,8.58
1961,New York,1961,10.03,8.8
1962,New York,1962,9.32,8.75
1963,New York,1963,9.32,8.86
1964,New York,1964,9.96,8.41
1965,New York,1965,9.63,8.53
1966,New York,1966,9.75,8.6
1967,New York,1967,9.3,8.7
1968,New York,1968,9.75,8.52
1969,New York,1969,9.76,8.6
1970,New York,1970,9.77,8.7
1971,New York,1971,10.01,8.6
1972,New York,1972,9.49,8.5
1973,New York,1973,10.96,8.95
1974,New York,1974,10.08,8.47
1975,New York,1975,10.56,8.74
1976,New York,1976,9.53,8.35
1977,New York,1977,9.96,8.85
1978,New York,1978,9.17,8.69
1979,New York,1979,10.02,8.73
1980,New York,1980,9.86,8.98
1981,New York,1981,9.95,9.17
1982,New York,1982,9.78,8.64
1983,New York,1983,10.51,9.03
1984,New York,1984,10.26,8.69
1985,New York,1985,10.26,8.66
1986,New York,1986,10.15,8.83
1987,New York,1987,10.32,8.99
1988,New York,1988,9.93,9.2
1989,New York,1989,9.66,8.92
1990,New York,1990,11.32,9.23
1991,New York,1991,11.36,9.18
1992,New York,1992,9.57,8.84
1993,New York,1993,10.04,8.87
1994,New York,1994,10,9.04
1995,New York,1995,10.24,9.35
1996,New York,1996,9.81,9.04
1997,New York,1997,10,9.2
1998,New York,1998,11.82,9.52
1999,New York,1999,11.16,9.29
2000,New York,2000,9.97,9.2
2001,New York,2001,10.93,9.41
2002,New York,2002,11.25,9.57
2003,New York,2003,9.84,9.53
2004,New York,2004,10.39,9.32
2005,New York,2005,10.68,9.7
2006,New York,2006,11.52,9.53
2007,New York,2007,10.63,9.73
2008,New York,2008,10.64,9.43
2009,New York,2009,10.14,9.51
2010,New York,2010,11.36,9.7
2011,New York,2011,11.27,9.52
2012,New York,2012,11.97,9.51
2013,New York,2013,12.16,9.61
